ID_customer;avg_ticket;total_amount;ticket_std_dev;purchases;frequency;inactive_days;web_purchases;app_purchases;mon_thur_purchases;frid_sund_purchases;lunch_purchases;evening_purchases;low_ticket;medium_ticket;big_ticket
113; 37.1 ; 111.4 ; 12.7 ;3;56;30;0;3;3;0;1;2;1;2;0
114; 39.1 ; 273.6 ; 14.7 ;7;23;5;0;7;2;5;1;6;2;5;0
115; 23.0 ; 436.1 ; 8.1 ;19;10;20;19;0;2;17;13;6;13;6;0
116; 16.5 ; 66.0 ; 4.4 ;4;8;14;0;4;4;0;1;3;4;0;0
117; 28.3 ; 56.7 ; 2.7 ;2;125;43;2;0;0;2;1;1;1;1;0
118; 46.8 ; 93.5 ; -   ;2;9;344;0;2;1;1;0;2;0;2;0
119; 26.6 ; 159.8 ; 8.0 ;6;16;63;6;0;0;6;2;4;4;2;0
120; 36.9 ; 184.3 ; 16.6 ;5;40;69;0;5;3;2;5;0;2;3;0
121; 41.4 ; 82.7 ; 16.7 ;2;65;142;1;1;1;1;2;0;1;0;1
122; 65.0 ; 260.1 ; 37.2 ;4;12;69;0;4;0;4;1;3;1;0;3
123; 54.4 ; 163.1 ; 21.5 ;3;50;5;0;3;1;2;0;3;0;2;1
124; 29.1 ; 261.7 ; 9.2 ;9;5;145;0;9;2;7;7;2;6;3;0
125; 34.7 ; 69.3 ; 22.3 ;2;17;205;0;2;1;1;1;1;1;0;1
126; 77.9 ; 155.7 ; 41.6 ;2;74;22;0;2;0;2;1;1;0;0;2
127; 36.6 ; 219.5 ; 6.2 ;6;54;5;0;6;3;3;2;4;0;6;0
128; 38.2 ; 114.6 ; 21.6 ;3;31;149;0;3;1;2;0;3;1;1;1
129; 53.3 ; 160.0 ; 8.0 ;3;30;82;3;0;1;2;0;3;0;2;1
130; 36.6 ; 109.8 ; -   ;3;45;107;0;3;2;1;1;2;0;3;0
131; 53.7 ; 161.2 ; 1.2 ;3;79;20;0;3;0;3;3;0;0;3;0
132; 30.2 ; 60.4 ; -   ;2;80;149;2;0;1;1;2;0;0;2;0
133; 61.6 ; 308.1 ; 44.6 ;5;53;20;0;5;1;4;3;2;2;0;3
134; 36.6 ; 73.2 ; -   ;2;19;105;0;2;0;2;1;1;0;2;0
135; 49.4 ; 345.6 ; 2.8 ;7;27;15;0;7;0;7;7;0;0;7;0
136; 39.0 ; 233.9 ; 9.4 ;6;31;23;0;6;2;4;4;2;2;4;0
137; 18.6 ; 92.9 ; 9.3 ;5;26;23;0;5;2;3;2;3;5;0;0
138; 45.6 ; 182.3 ; 11.3 ;4;25;65;0;4;3;1;3;1;0;3;1
139; 52.5 ; 105.0 ; 1.1 ;2;18;62;0;2;0;2;2;0;0;2;0
140; 55.2 ; 110.4 ; 12.7 ;2;132;1;1;1;1;1;0;2;0;0;2
141; 30.3 ; 211.9 ; 0.3 ;7;23;11;0;7;1;6;2;5;0;7;0
142; 47.5 ; 189.9 ; 0.6 ;4;74;10;0;4;0;4;4;0;0;4;0
143; 23.5 ; 188.3 ; 6.8 ;8;13;40;0;8;0;8;6;2;5;3;0
144; 251.1 ; 753.4 ; 186.8 ;3;1;85;0;3;2;1;1;2;0;0;3
145; 37.1 ; 185.6 ; 6.7 ;5;6;165;5;0;4;1;2;3;0;5;0
146; 24.5 ; 122.3 ; 18.9 ;5;13;139;5;0;5;0;5;0;3;2;0
147; 46.8 ; 93.5 ; -   ;2;4;139;0;2;1;1;0;2;0;2;0
148; 32.5 ; 357.4 ; 16.1 ;11;24;22;0;11;5;6;9;2;4;7;0
149; 25.3 ; 75.9 ; 11.1 ;3;9;5;3;0;0;3;2;1;2;1;0
150; 65.6 ; 131.2 ; -   ;2;249;7;2;0;1;1;0;2;0;0;2
